Bigram		Count	Probability
('Richard', 'W.')	 : 2	 : 0.0005331437711036076
('reviving', 'North')	 : 1	 : 0.0003566333808844508
('North', 'Halsted')	 : 1	 : 0.0003566333808844508
('Halsted', 'Street')	 : 1	 : 0.0003566969859104691
('Street', 'restaurant')	 : 1	 : 0.0003563791874554526
('restaurant', 'and')	 : 1	 : 0.0003566969859104691
('and', 'theater')	 : 1	 : 0.0003183192742320548
('theater', 'district')	 : 1	 : 0.0003566333808844508
('district', '.')	 : 1	 : 0.0003566333808844508
('.', 'BNL')	 : 1	 : 0.0003028009084027252
('BNL', 'also')	 : 1	 : 0.0003566969859104691
('also', 'said')	 : 10	 : 0.001942776404097492
('said', 'that')	 : 15	 : 0.0027178528962119924
('that', 'its')	 : 4	 : 0.0008528057308545113
('its', 'board')	 : 34	 : 0.006102877070619006
('board', 'had')	 : 5	 : 0.0010046885465505692
('had', 'approved')	 : 2	 : 0.0005305978068623983
('approved', '``')	 : 1	 : 0.0003557452863749555
('``', 'after')	 : 1	 : 0.00034164673727365904
('after', 'an')	 : 1	 : 0.0003549875754348598
('an', 'in-depth')	 : 1	 : 0.00035180299032541777
('in-depth', 'discussion')	 : 1	 : 0.0003566969859104691
('discussion', ',')	 : 1	 : 0.0003566969859104691
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'a')	 : 1	 : 0.0003420557550880794
('a', 'letter')	 : 3	 : 0.0006464124111182935
('letter', 'to')	 : 6	 : 0.001246660730186999
('to', 'the')	 : 85	 : 0.013749000799360511
('the', 'Bank')	 : 1	 : 0.0002842524161455372
('Bank', 'of')	 : 4	 : 0.0008896797153024911
('of', 'Italy')	 : 1	 : 0.0003056234718826406
('Italy', 'outlining')	 : 1	 : 0.0003566969859104691
('outlining', 'measures')	 : 1	 : 0.0003566969859104691
('measures', 'the')	 : 1	 : 0.0003566333808844508
('the', 'state-owned')	 : 1	 : 0.0002842524161455372
('state-owned', 'bank')	 : 1	 : 0.0003566969859104691
('bank', 'has')	 : 1	 : 0.000354924578527063
('has', 'taken')	 : 1	 : 0.00035112359550561797
('taken', 'or')	 : 1	 : 0.0003563791874554526
('or', 'plans')	 : 1	 : 0.00035323207347227127
('plans', 'to')	 : 10	 : 0.0019562511115063133
('to', 'take')	 : 8	 : 0.0014388489208633094
('take', 'to')	 : 1	 : 0.0003557452863749555
('to', 'improve')	 : 2	 : 0.00047961630695443646
('improve', 'controls')	 : 1	 : 0.00035656979853806385
('controls', 'on')	 : 1	 : 0.0003564427018356799
('on', 'its')	 : 6	 : 0.0012161223071577485
('its', 'foreign')	 : 1	 : 0.0003487358326068004
('foreign', 'branches')	 : 1	 : 0.0003563791874554526
('branches', '.')	 : 1	 : 0.0003566969859104691
('.', 'Some')	 : 5	 : 0.0009084027252081756
('Some', '$')	 : 1	 : 0.0003563791874554526
('$', '170')	 : 1	 : 0.0003505082369435682
('170', 'million')	 : 1	 : 0.0003566969859104691
('million', 'of')	 : 4	 : 0.0008837044892188052
('of', 'the')	 : 266	 : 0.040800733496332516
('the', '$')	 : 10	 : 0.0015633882888004549
('$', '233')	 : 1	 : 0.0003505082369435682
('233', 'million')	 : 1	 : 0.0003566969859104691
('million', 'increase')	 : 1	 : 0.0003534817956875221
('increase', 'in')	 : 4	 : 0.0008907892392659896
('in', 'nonperforming')	 : 1	 : 0.00033528918692372173
('nonperforming', 'loans')	 : 1	 : 0.0003566969859104691
('loans', 'was')	 : 1	 : 0.00035650623885918
('was', 'related')	 : 1	 : 0.0003459609064175748
('related', 'to')	 : 1	 : 0.00035656979853806385
('to', 'real')	 : 1	 : 0.000319744204636291
('real', 'estate')	 : 9	 : 0.0017806267806267807
('estate', ',')	 : 1	 : 0.00035612535612535614
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'roughly')	 : 1	 : 0.0003183192742320548
('roughly', 'three-quarters')	 : 1	 : 0.0003566969859104691
('three-quarters', 'of')	 : 1	 : 0.0003566969859104691
('of', 'that')	 : 1	 : 0.0003056234718826406
('that', 'was')	 : 2	 : 0.0005116834385127068
('was', 'in')	 : 3	 : 0.0006919218128351496
('in', 'the')	 : 92	 : 0.01559094719195306
('the', 'troubled')	 : 1	 : 0.0002842524161455372
('troubled', 'New')	 : 1	 : 0.00035656979853806385
('New', 'England')	 : 3	 : 0.0007093456286575634
('England', 'market')	 : 1	 : 0.00035656979853806385
('market', ',')	 : 7	 : 0.0014156786409485046
(',', 'according')	 : 9	 : 0.001310615989515072
('according', 'to')	 : 9	 : 0.0017809439002671415
('to', 'Richard')	 : 1	 : 0.000319744204636291
('Richard', 'Driscoll')	 : 2	 : 0.0005331437711036076
('Driscoll', ',')	 : 2	 : 0.0005349500713266762
(',', 'vice')	 : 16	 : 0.0022280471821756226
('vice', 'chairman')	 : 43	 : 0.007771105616389968
('chairman', '.')	 : 37	 : 0.006168831168831169
('.', 'David')	 : 5	 : 0.0009084027252081756
('David', 'R.')	 : 1	 : 0.00035555555555555557
('R.', 'Jackson')	 : 1	 : 0.0003558085749866572
('Jackson', ',')	 : 1	 : 0.0003566969859104691
(',', 'formerly')	 : 4	 : 0.000655307994757536
('formerly', 'vice')	 : 2	 : 0.0005346640527535199
('vice', 'president')	 : 11	 : 0.0021193924408336277
('president', ',')	 : 19	 : 0.0035112359550561797
(',', 'managing')	 : 1	 : 0.0002621231979030144
('managing', 'director')	 : 1	 : 0.00035656979853806385
('director', 'of')	 : 20	 : 0.0037168141592920354
('of', 'corporate')	 : 3	 : 0.0006112469437652812
('corporate', 'communications')	 : 1	 : 0.0003562522265764161
('communications', 'for')	 : 1	 : 0.0003566333808844508
('for', 'Maxwell')	 : 1	 : 0.0003471017007983339
('Maxwell', 'Communication')	 : 2	 : 0.0005344735435595938
('Communication', 'Inc.')	 : 1	 : 0.0003566333808844508
('Inc.', ',')	 : 30	 : 0.005479936362029344
(',', 'was')	 : 51	 : 0.006815203145478375
('was', 'named')	 : 42	 : 0.007438159487977858
('named', 'vice')	 : 4	 : 0.0008829242450997704
('vice', 'president')	 : 11	 : 0.0021193924408336277
('president', 'and')	 : 45	 : 0.008075842696629214
('and', 'assistant')	 : 1	 : 0.0003183192742320548
('assistant', 'to')	 : 3	 : 0.0007131395970761277
('to', 'the')	 : 85	 : 0.013749000799360511
('the', 'chairman')	 : 39	 : 0.005685048322910745
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'this')	 : 53	 : 0.008251833740831296
('this', 'maker')	 : 5	 : 0.00105318588730911
('maker', 'of')	 : 7	 : 0.001422981145499822
('of', 'alcoholic')	 : 1	 : 0.0003056234718826406
('alcoholic', 'beverages')	 : 1	 : 0.0003566969859104691
('beverages', 'and')	 : 1	 : 0.0003566333808844508
('and', 'consumer')	 : 1	 : 0.0003183192742320548
('consumer', 'products')	 : 1	 : 0.00035650623885918
('products', '.')	 : 2	 : 0.0005339028296849973
('.', 'Claude')	 : 1	 : 0.0003028009084027252
('Claude', 'Bebear')	 : 2	 : 0.0005349500713266762
('Bebear', ',')	 : 2	 : 0.0005349500713266762
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', ',')	 : 56	 : 0.009928583870405853
(',', 'of')	 : 7	 : 0.0010484927916120576
('of', 'Axa-Midi')	 : 1	 : 0.0003056234718826406
('Axa-Midi', 'Assurances')	 : 1	 : 0.0003566969859104691
('Assurances', ',')	 : 1	 : 0.0003566969859104691
(',', 'pledged')	 : 1	 : 0.0002621231979030144
('pledged', 'to')	 : 1	 : 0.0003566333808844508
('to', 'retain')	 : 1	 : 0.000319744204636291
('retain', 'employees')	 : 1	 : 0.0003566333808844508
('employees', 'and')	 : 2	 : 0.0005346640527535199
('and', 'management')	 : 4	 : 0.0007957981855801369
('management', 'of')	 : 2	 : 0.0005329543435779002
('of', 'Farmers')	 : 1	 : 0.0003056234718826406
('Farmers', 'Group')	 : 1	 : 0.0003566333808844508
('Group', 'Inc.')	 : 4	 : 0.0008890469416785206
('Inc.', ',')	 : 30	 : 0.005479936362029344
(',', 'including')	 : 10	 : 0.0014416775884665792
('including', 'Leo')	 : 1	 : 0.0003559352197899982
('Leo', 'E.')	 : 1	 : 0.0003566333808844508
('E.', 'Denlea')	 : 1	 : 0.00035568202027387515
('Denlea', 'Jr.')	 : 1	 : 0.0003566969859104691
('Jr.', ',')	 : 27	 : 0.004969826056088037
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', ',')	 : 56	 : 0.009928583870405853
(',', 'if')	 : 3	 : 0.0005242463958060288
('if', 'Axa')	 : 1	 : 0.0003553028957186001
('Axa', 'succeeds')	 : 1	 : 0.0003566333808844508
('succeeds', 'in')	 : 1	 : 0.00035587188612099647
('in', 'acquiring')	 : 1	 : 0.00033528918692372173
('acquiring', 'Farmers')	 : 1	 : 0.00035656979853806385
('Farmers', '.')	 : 1	 : 0.0003566333808844508
('.', 'Confusion')	 : 1	 : 0.0003028009084027252
('Confusion', 'about')	 : 1	 : 0.0003566969859104691
('about', 'the')	 : 4	 : 0.0008852691218130312
('the', 'two')	 : 5	 : 0.0008527572484366117
('two', 'banks')	 : 1	 : 0.00035486160397445
('banks', "'")	 : 1	 : 0.00035606195478013177
("'", 'hurried')	 : 1	 : 0.00035536602700781805
('hurried', 'efforts')	 : 1	 : 0.0003566969859104691
('efforts', 'to')	 : 2	 : 0.0005348546978070957
('to', 'round')	 : 1	 : 0.000319744204636291
('round', 'up')	 : 1	 : 0.00035656979853806385
('up', 'financing')	 : 1	 : 0.000354735721887194
('financing', 'for')	 : 2	 : 0.0005345687811831789
('for', 'a')	 : 15	 : 0.0027768136063866713
('a', 'new')	 : 20	 : 0.003393665158371041
('new', 'bid')	 : 3	 : 0.0007052186177715092
('bid', 'that')	 : 4	 : 0.0008873114463176575
('that', 'the')	 : 52	 : 0.009039740747057821
('the', 'UAL')	 : 14	 : 0.0021318931210915293
('UAL', 'board')	 : 15	 : 0.0028333628475296618
('board', 'has')	 : 9	 : 0.0016744809109176155
('has', "n't")	 : 9	 : 0.0017556179775280898
("n't", 'even')	 : 2	 : 0.000526685393258427
('even', 'seen')	 : 1	 : 0.0003557452863749555
('seen', 'yet')	 : 1	 : 0.0003564427018356799
('yet', 'helped')	 : 1	 : 0.0003564427018356799
('helped', 'send')	 : 1	 : 0.0003566333808844508
('send', 'UAL')	 : 1	 : 0.0003566969859104691
('UAL', 'stock')	 : 3	 : 0.0007083407118824154
('stock', 'spiraling')	 : 1	 : 0.00035423308537017357
('spiraling', 'downward')	 : 1	 : 0.0003566969859104691
('downward', '.')	 : 1	 : 0.0003566333808844508
('.', 'Holders')	 : 1	 : 0.0003028009084027252
('Holders', 'at')	 : 1	 : 0.0003566969859104691
('at', 'the')	 : 28	 : 0.005082369435681739
('the', 'meeting')	 : 2	 : 0.00042637862421830583
('meeting', 'elected')	 : 1	 : 0.00035536602700781805
('elected', 'a')	 : 6	 : 0.0012409147314305974
('a', 'full')	 : 1	 : 0.0003232062055591467
('full', 'slate')	 : 1	 : 0.0003564427018356799
('slate', 'of')	 : 2	 : 0.0005349500713266762
('of', 'Canadian')	 : 1	 : 0.0003056234718826406
('Canadian', 'Express')	 : 1	 : 0.00035650623885918
('Express', 'nominees')	 : 1	 : 0.0003564427018356799
('nominees', 'to')	 : 1	 : 0.0003566333808844508
('to', 'Enfield')	 : 1	 : 0.000319744204636291
('Enfield', "'s")	 : 1	 : 0.00035656979853806385
("'s", '11-member')	 : 1	 : 0.00033383408446002337
('11-member', 'board')	 : 1	 : 0.0003566969859104691
('board', '.')	 : 57	 : 0.00971198928332217
('.', 'The')	 : 121	 : 0.01847085541256624
('The', 'new')	 : 4	 : 0.0008683570684265369
('new', 'directors')	 : 2	 : 0.0005289139633286319
('directors', 'are')	 : 1	 : 0.00035486160397445
('are', 'Gordon')	 : 1	 : 0.0003529204164460914
('Gordon', 'M.')	 : 1	 : 0.0003566969859104691
('M.', 'Sprenger')	 : 1	 : 0.00035542918073573843
('Sprenger', ',')	 : 1	 : 0.0003566969859104691
(',', 'president')	 : 35	 : 0.00471821756225426
('president', 'and')	 : 45	 : 0.008075842696629214
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', 'of')	 : 46	 : 0.008186727051036406
('of', 'LifeSpan')	 : 1	 : 0.0003056234718826406
('LifeSpan', 'Inc.')	 : 1	 : 0.0003566969859104691
('Inc.', ',')	 : 30	 : 0.005479936362029344
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'Peter')	 : 1	 : 0.0003183192742320548
('Peter', 'S.')	 : 1	 : 0.00035618878005342833
('S.', 'Willmott')	 : 1	 : 0.0003559352197899982
('Willmott', ',')	 : 1	 : 0.0003566333808844508
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', 'of')	 : 46	 : 0.008186727051036406
('of', 'Willmott')	 : 1	 : 0.0003056234718826406
('Willmott', 'Services')	 : 1	 : 0.0003566333808844508
('Services', 'Inc')	 : 1	 : 0.0003564427018356799
('Inc', '.')	 : 5	 : 0.0010693281055070398
('.', 'Mortimer')	 : 1	 : 0.0003028009084027252
('Mortimer', 'B.')	 : 1	 : 0.0003566969859104691
('B.', 'Zuckerman')	 : 1	 : 0.000355998576005696
('Zuckerman', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'editor')	 : 1	 : 0.0003183192742320548
('editor', 'in')	 : 2	 : 0.0005347593582887701
('in', 'chief')	 : 2	 : 0.0005029337803855825
('chief', ',')	 : 1	 : 0.0003450655624568668
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'Mr.')	 : 12	 : 0.002208255478172244
('Mr.', 'Rosenblatt')	 : 1	 : 0.00034578146611341634
('Rosenblatt', 'would')	 : 1	 : 0.0003566969859104691
('would', 'be')	 : 21	 : 0.003865073787772312
('be', 'succeeded')	 : 2	 : 0.0005250262513125656
('succeeded', 'starting')	 : 1	 : 0.0003563791874554526
('starting', 'today')	 : 1	 : 0.0003566333808844508
('today', 'by')	 : 1	 : 0.00035618878005342833
('by', 'Michael')	 : 1	 : 0.00034837136387388956
('Michael', 'Ruby')	 : 1	 : 0.0003559352197899982
('Ruby', ',')	 : 1	 : 0.0003566969859104691
(',', 'the')	 : 111	 : 0.014678899082568808
('the', 'magazine')	 : 1	 : 0.0002842524161455372
('magazine', "'s")	 : 1	 : 0.00035656979853806385
("'s", 'executive')	 : 3	 : 0.0006676681689200467
('executive', 'editor')	 : 1	 : 0.0003451251078515962
('editor', ',')	 : 1	 : 0.00035650623885918
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'Merrill')	 : 1	 : 0.0003183192742320548
('Merrill', 'McLoughlin')	 : 1	 : 0.00035650623885918
('McLoughlin', ',')	 : 1	 : 0.0003566969859104691
(',', 'a')	 : 68	 : 0.009043250327653997
('a', 'senior')	 : 1	 : 0.0003232062055591467
('senior', 'writer')	 : 1	 : 0.0003563791874554526
('writer', '.')	 : 1	 : 0.0003566969859104691
('.', 'But')	 : 26	 : 0.00408781226343679
('But', 'it')	 : 2	 : 0.0005323868677905945
('it', 'was')	 : 15	 : 0.002805049088359046
('was', 'clear')	 : 1	 : 0.0003459609064175748
('clear', 'that')	 : 1	 : 0.0003566969859104691
('that', 'for')	 : 1	 : 0.00034112229234180454
('for', 'the')	 : 40	 : 0.007115584866365845
('the', 'time')	 : 5	 : 0.0008527572484366117
('time', 'being')	 : 1	 : 0.00035568202027387515
('being', ',')	 : 1	 : 0.00035618878005342833
(',', 'the')	 : 111	 : 0.014678899082568808
('the', 'board')	 : 144	 : 0.02060830017055145
('board', 'wants')	 : 1	 : 0.0003348961821835231
('wants', 'the')	 : 1	 : 0.00035650623885918
('the', 'company')	 : 84	 : 0.012080727686185332
('company', 'to')	 : 2	 : 0.0005214670606640013
('to', 'return')	 : 2	 : 0.00047961630695443646
('return', 'to')	 : 4	 : 0.0008901548869503294
('to', 'normalcy')	 : 1	 : 0.000319744204636291
('normalcy', '.')	 : 1	 : 0.0003566969859104691
('.', 'Dr.')	 : 1	 : 0.0003028009084027252
('Dr.', 'Marston')	 : 1	 : 0.0003566969859104691
('Marston', ',')	 : 2	 : 0.0005349500713266762
(',', '66')	 : 3	 : 0.0005242463958060288
('66', 'years')	 : 1	 : 0.00035656979853806385
('years', 'old')	 : 29	 : 0.005304101838755304
('old', ',')	 : 26	 : 0.0047872340425531915
(',', 'succeeds')	 : 5	 : 0.0007863695937090433
('succeeds', 'Alexander')	 : 1	 : 0.00035587188612099647
('Alexander', 'T.')	 : 1	 : 0.0003566969859104691
('T.', 'Daignault')	 : 1	 : 0.00035612535612535614
('Daignault', ',')	 : 1	 : 0.0003566969859104691
(',', '72')	 : 1	 : 0.0002621231979030144
('72', ',')	 : 1	 : 0.0003566969859104691
(',', 'who')	 : 63	 : 0.008387942332896461
('who', 'did')	 : 2	 : 0.0005259467040673212
('did', "n't")	 : 13	 : 0.0024906600249066002
("n't", 'stand')	 : 1	 : 0.00035112359550561797
('stand', 'for')	 : 1	 : 0.0003566333808844508
('for', 're-election')	 : 1	 : 0.0003471017007983339
('re-election', 'due')	 : 1	 : 0.0003566333808844508
('due', 'to')	 : 4	 : 0.0008911067545891997
('to', 'mandatory')	 : 1	 : 0.000319744204636291
('mandatory', 'board')	 : 1	 : 0.0003566969859104691
('board', 'retirement')	 : 1	 : 0.0003348961821835231
('retirement', 'policy')	 : 1	 : 0.0003563791874554526
('policy', '.')	 : 2	 : 0.0005345687811831789
('.', 'George')	 : 2	 : 0.0004542013626040878
('George', 'L.')	 : 3	 : 0.0007125044531528322
('L.', 'LaMore')	 : 1	 : 0.0003553028957186001
('LaMore', ',')	 : 1	 : 0.0003566969859104691
(',', 'president')	 : 35	 : 0.00471821756225426
('president', 'and')	 : 45	 : 0.008075842696629214
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', ',')	 : 56	 : 0.009928583870405853
(',', 'will')	 : 21	 : 0.0028833551769331584
('will', 'become')	 : 8	 : 0.0015734265734265735
('become', 'chairman')	 : 4	 : 0.0008901548869503294
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'upon')	 : 1	 : 0.0003451251078515962
('upon', 'Mr.')	 : 2	 : 0.0005345687811831789
('Mr.', 'Cunin')	 : 1	 : 0.00034578146611341634
('Cunin', "'s")	 : 1	 : 0.0003566333808844508
("'s", 'retirement')	 : 3	 : 0.0006676681689200467
('retirement', '.')	 : 2	 : 0.0005345687811831789
('.', '``')	 : 93	 : 0.014231642694928085
('``', 'On')	 : 1	 : 0.00034164673727365904
('On', 'a')	 : 2	 : 0.0005347593582887701
('a', 'truly')	 : 1	 : 0.0003232062055591467
('truly', 'comparable')	 : 1	 : 0.0003566333808844508
('comparable', 'basis')	 : 1	 : 0.0003566969859104691
('basis', ',')	 : 1	 : 0.00035656979853806385
(',', 'we')	 : 2	 : 0.00039318479685452164
('we', "'ve")	 : 3	 : 0.0007108583614714769
("'ve", 'seen')	 : 1	 : 0.0003563156957063959
('seen', 'modest')	 : 1	 : 0.0003564427018356799
('modest', 'earnings')	 : 1	 : 0.0003563791874554526
('earnings', 'growth')	 : 3	 : 0.0007112375533428165
('growth', 'this')	 : 1	 : 0.0003562522265764161
('this', 'year')	 : 7	 : 0.00140424784974548
('year', 'from')	 : 1	 : 0.000354735721887194
('from', 'the')	 : 22	 : 0.004043600562587905
('the', 'operations')	 : 2	 : 0.00042637862421830583
('operations', 'of')	 : 3	 : 0.0007125044531528322
('of', 'our')	 : 5	 : 0.0009168704156479218
('our', 'company')	 : 1	 : 0.00035568202027387515
('company', ',')	 : 24	 : 0.004345558838866679
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'said')	 : 48	 : 0.008380365999657944
('said', 'Jack')	 : 1	 : 0.00033973161202649905
('Jack', 'MacAllister')	 : 1	 : 0.0003563156957063959
('MacAllister', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', '.')	 : 21	 : 0.0038320850026127853
('.', 'It')	 : 12	 : 0.001968205904617714
('It', 'also')	 : 1	 : 0.00035536602700781805
('also', 'contends')	 : 1	 : 0.00035323207347227127
('contends', 'that')	 : 1	 : 0.0003566969859104691
('that', 'Young')	 : 1	 : 0.00034112229234180454
('Young', '&')	 : 3	 : 0.0007127583749109052
('&', 'Rubicam')	 : 3	 : 0.0007084661707403471
('Rubicam', 'never')	 : 1	 : 0.00035656979853806385
('never', 'told')	 : 1	 : 0.00035656979853806385
('told', 'the')	 : 5	 : 0.0010681858643403952
('the', 'tourist')	 : 3	 : 0.0005685048322910744
('tourist', 'board')	 : 3	 : 0.0007131395970761277
('board', 'about')	 : 1	 : 0.0003348961821835231
('about', 'its')	 : 1	 : 0.0003541076487252125
('its', 'relationship')	 : 1	 : 0.0003487358326068004
('relationship', 'with')	 : 1	 : 0.0003566969859104691
('with', 'Ad')	 : 1	 : 0.00034995625546806647
('Ad', 'Ventures')	 : 1	 : 0.0003566969859104691
('Ventures', ',')	 : 1	 : 0.0003566969859104691
(',', 'a')	 : 68	 : 0.009043250327653997
('a', 'Jamaican')	 : 1	 : 0.0003232062055591467
('Jamaican', 'firm')	 : 1	 : 0.0003566333808844508
('firm', 'hired')	 : 1	 : 0.000354924578527063
('hired', 'by')	 : 1	 : 0.0003566333808844508
('by', 'the')	 : 43	 : 0.0076641700052255705
('the', 'agency')	 : 6	 : 0.0009948834565093804
('agency', '.')	 : 2	 : 0.0005338078291814947
('.', 'Isler')	 : 1	 : 0.0003028009084027252
('Isler', 'Sailing')	 : 1	 : 0.0003566969859104691
('Sailing', 'International')	 : 1	 : 0.0003566969859104691
('International', "'s")	 : 1	 : 0.000355998576005696
("'s", 'advisory')	 : 1	 : 0.00033383408446002337
('advisory', 'board')	 : 2	 : 0.0005349500713266762
('board', 'includes')	 : 1	 : 0.0003348961821835231
